,FP_1,FP_2,FP_3,FP_4,FS_1,FS_2,FS_3,N_1,N_2,N_3
O15143,5058.79443,3111.70594,2899.279398,13695.60716,4124.514589,1526.680797,6620.088265,1288.413041,3173.420696,1683.490323
O15144,22533.59342,14469.6271,14097.74993,44082.6832,15914.12763,5778.345892,21091.83244,4837.100783,12311.93753,4891.308392
O15145,19832.98463,13877.27453,17500.04374,19055.59012,12298.54503,2895.320357,13550.30956,5185.866115,12739.64825,4048.004202
O15230,193201.3654,98731.72537,82358.99213,204419.4939,192966.9345,43786.87057,121955.6194,62883.7217,138388.0813,43794.27557
O15260,3285.47096,1829.206171,1061.141207,3576.105779,2392.703676,585.6887968,2988.368793,1083.76937,2089.489414,791.7239868
O15511,11477.8936,10133.35261,12078.75751,19591.97129,11374.39442,3228.041332,9124.32998,4833.523603,9438.819665,1812.57075
O43175,39911.30331,25380.73195,8616.63396,28988.75199,30151.35777,9500.4256,35268.35338,13178.32925,32348.7237,9587.643807
O43294,73115.34795,57502.67277,30659.60678,39238.62163,74629.6058,23243.4731,94313.9744,35004.3449,68749.10665,29134.92493
O43396,3377.492181,4733.06484,3363.033145,4593.088305,5822.479035,1266.661244,4475.520968,3006.49368,4869.984468,1230.699008
O43399,13867.72444,6388.08167,3645.587488,10586.21163,15790.72057,3872.562452,8331.46332,5331.486325,12585.85346,3540.139045
O43488,6266.10873,5441.25286,2817.902578,1895.951292,8206.88621,1832.529853,3747.425985,1728.858584,3968.891974,1091.774266
O43491,5680.70495,2554.980852,893.8166545,4727.046002,4236.259501,1441.475956,6608.336935,2115.466608,4178.883143,932.3435817
O43633,1567.655525,1125.424935,703.8572118,4128.196707,1829.278968,684.9112078,1661.986938,577.4901893,1989.417913,527.827802
O43678,475.290382,280.631138,98.57264405,873.32139,349.5296908,89.07243342,410.177282,183.5615155,419.7394457,166.0447418
O43681,2556.793387,859.0393973,1600.477078,7060.60919,2885.078849,842.7229898,2304.529425,1344.702377,1997.083731,686.103388
O43707,431671.8589,245186.6626,204884.454,399701.4839,437680.6934,142335.2749,369737.8309,193361.0537,382738.8987,100909.4999
O43776,1012.433313,1217.904424,1443.502444,5229.889885,1812.355734,500.5207672,1455.544339,808.5353788,1867.23956,269.0870392
O43813,11171.75798,8189.82639,5111.36919,13481.91616,10992.68299,2917.860865,9259.029065,4334.013993,9437.71561,3574.295928
O60264,1151.612831,734.111595,755.0785868,1593.242312,776.3652195,299.9028783,955.8200365,302.1672523,725.286533,267.7028113
O60493,3458.732889,3179.930136,3506.671605,7878.41399,5009.38574,1177.353221,4671.131903,2167.19069,4582.562275,1351.748078
O60504,17509.04904,15093.68154,11399.81541,9906.755595,18821.83865,6480.19377,23864.49691,6921.59095,18804.47732,7427.787775
O60506,3907.375029,1262.781664,2834.387135,4761.229383,3084.678913,849.1710232,4700.672805,1938.289874,2938.38221,1214.128431
O60664,5269.13694,2312.706713,1789.029685,2820.721244,5454.926845,753.851789,4945.035518,1804.288731,4738.491575,1741.339708
O60701,7378.397185,2009.780851,1770.264901,6986.59505,4823.325166,1618.707914,5097.802855,1059.782931,1692.05555,247.1626183
O60749,2083.733901,1413.637538,1612.579004,559.62874,2125.035208,621.6039132,2210.857826,750.1790128,1282.443964,537.2906292
O60888,9845.406695,7642.351047,5951.85683,11458.28868,11323.59306,2569.752957,6946.61742,3913.95644,5660.156285,3561.563867
O75083,87312.4841,53251.92583,38666.22835,120110.8553,71949.30215,26981.2465,75814.68125,32849.33598,63402.17065,22154.14117
O75112,12968.9185,7963.911307,4971.574688,4709.792786,13204.37457,4210.584188,12932.41236,6707.830305,14890.01523,4510.137875
O75131,4218.900907,1738.844635,1103.586856,1980.039779,7125.174465,1875.40222,4785.300987,1351.081359,5478.61292,1304.162294
O75340,4105.434718,2252.203381,2106.493429,3026.204407,1345.670763,538.1659933,2119.768734,1036.89865,1848.305025,723.066523
O75347,6481.84794,1275.822144,963.447182,2353.005958,4200.015463,1312.380316,5703.06621,1645.373015,3264.497833,1855.455828
O75367,4095.189362,3535.611487,1054.122718,16545.73784,5533.3229,1434.629139,4399.527462,2786.10075,4804.698044,995.7310588
O75368,18280.06205,17994.33405,12886.98206,25723.20409,17989.33859,6795.036943,22168.82127,10187.65251,17033.53707,7185.512473
O75369,45749.60879,1976.725481,1597.318235,55595.91415,26361.02389,4819.09203,52930.70075,12659.59955,16266.21919,530.9836525
O75390,20954.94461,14819.69655,13861.09819,31246.38667,20022.07183,8734.62501,29163.83746,11943.39021,26264.64728,6888.151518
O75396,2984.190438,2802.565614,1543.481923,10667.46446,5621.535425,1717.520498,4483.770126,2439.172348,4552.973614,707.1431787
O75531,9344.03547,6123.18005,6187.567203,6927.91976,6733.87275,3002.746678,12395.00947,5290.474445,10476.4101,4809.152345
O75569,809.17035,205.1312532,268.0048358,632.7096275,641.9248075,246.8498587,590.033069,324.4366448,708.9134045,244.5087277
O75874,25149.02841,10094.68084,9383.804013,32840.5742,16119.82114,4714.635117,14751.03575,7302.84094,14034.37298,2677.181653
